time,BE-St. Ghislain,IE-Dublin,SG-Singapore,TW-Changhua County,IN-Indianapolis,MI-Detroit
2010-01-03 00:00:00,0.09961968260457624,0.09960468260457625,0.0499513025553639,0.049349635888697216,0.10209,-0.06405333333333334
2010-01-03 01:00:00,0.09021051593790957,0.0899338492712429,0.0852488025553639,0.08310213588869722,0.10485916666666667,-0.060145833333333336
2010-01-03 02:00:00,0.07965968260457625,0.08027801593790958,0.07638296922203054,0.07468296922203056,0.07900499999999999,0.02793166666666666
2010-01-03 03:00:00,0.06832968260457625,0.06871134927124291,0.05606046922203055,0.05421713588869721,0.04647083333333333,0.0426175
2010-01-03 04:00:00,0.07501718260457624,0.07492718260457623,0.14301713588869722,0.13540380255536388,0.058375,0.05806
2010-01-03 05:00:00,0.11538968260457624,0.11340301593790958,0.1253038025553639,0.11964380255536389,0.0415925,0.04111416666666667
2010-01-03 06:00:00,0.13778468260457624,0.13526301593790957,0.0852638025553639,0.0821188025553639,0.06806583333333331,0.06816083333333332
2010-01-03 07:00:00,0.13454801593790955,0.1316263492712429,0.08645963588869722,0.08348296922203055,0.05566416666666666,0.057850833333333324
2010-01-03 08:00:00,0.13548551593790958,0.13320718260457626,0.07557880255536388,0.07263713588869722,0.024501666666666668,0.021346666666666663
2010-01-03 09:00:00,0.11048301593790959,0.10924468260457623,0.06693796922203056,0.06456463588869722,0.03955916666666666,0.037435833333333335
2010-01-03 10:00:00,0.08099551593790957,0.08133218260457625,0.05346630255536389,0.052167969222030555,0.02252,0.01837666666666667
2010-01-03 11:00:00,0.09228301593790958,0.09254634927124292,0.060057135888697225,0.06054046922203056,0.03963333333333333,0.04068333333333333
2010-01-03 12:00:00,0.07696884927124291,0.07688551593790957,0.10260796922203054,0.10432630255536389,0.034417500000000004,0.03171916666666666
2010-01-03 13:00:00,0.0953788492712429,0.0829438492712429,0.13357963588869723,0.1351746358886972,0.04195,0.03783833333333333
2010-01-03 14:00:00,0.07864884927124291,0.05434551593790958,0.12989796922203056,0.12781130255536388,0.04990083333333333,0.04730416666666668
2010-01-03 15:00:00,0.09693301593790957,0.07137801593790957,0.12589046922203054,0.12390713588869724,0.043167500000000004,0.006345833333333332
2010-01-03 16:00:00,0.08979551593790958,0.07490718260457624,0.0945346358886972,0.09351630255536388,0.0423325,0.0407075
2010-01-03 17:00:00,0.13587968260457622,0.05666634927124291,0.06275380255536388,0.0626038025553639,0.05107416666666666,0.04998083333333333
2010-01-03 18:00:00,0.09758801593790957,0.04587301593790958,0.0746063025553639,0.07410630255536389,0.06267500000000001,0.0071733333333333345
2010-01-03 19:00:00,0.0922888492712429,0.0768038492712429,0.06011713588869723,0.05900046922203056,0.05320749999999999,-0.019034166666666668
2010-01-03 20:00:00,0.11020801593790956,0.0864263492712429,0.07143713588869721,0.06849046922203054,0.03477166666666666,-0.015986666666666666
2010-01-03 21:00:00,0.0849688492712429,0.0849088492712429,0.046297135888697216,0.043327135888697216,0.030601666666666662,0.005313333333333333
2010-01-03 22:00:00,0.07858051593790957,0.07841218260457625,0.06746796922203055,0.06236296922203055,0.060811666666666674,-0.02308
2010-01-03 23:00:00,0.07800051593790958,0.07816718260457624,0.06653880255536389,0.06289380255536389,0.1404933333333333,-0.051979999999999985
2010-01-04 00:00:00,0.08619884927124291,0.08566551593790958,0.08118296922203054,0.06813796922203055,0.11277999999999998,-0.04134
2010-01-04 01:00:00,0.09711468260457624,0.09671968260457624,0.0532413025553639,0.04565296922203055,0.15076416666666664,-0.038289166666666666
2010-01-04 02:00:00,0.08830551593790958,0.08833884927124291,0.06797546922203056,0.06365046922203056,0.09035499999999998,0.015028333333333338
2010-01-04 03:00:00,0.07158801593790959,0.07178134927124291,0.08323130255536389,0.07621296922203057,0.0305525,0.012464166666666663
2010-01-04 04:00:00,0.06731801593790958,0.06722468260457624,0.06781713588869723,0.06518546922203056,0.030340833333333338,0.01886916666666667
2010-01-04 05:00:00,0.06873301593790958,0.06889634927124291,0.06072380255536389,0.05927213588869722,0.02418250000000001,0.0207475
2010-01-04 06:00:00,0.11231468260457624,0.11047301593790956,0.06109213588869722,0.05956213588869723,0.0235975,0.010785833333333331
2010-01-04 07:00:00,0.09869301593790958,0.09602301593790957,0.07011546922203057,0.06810213588869722,0.02903333333333333,0.011008333333333334
2010-01-04 08:00:00,0.12056218260457624,0.08544218260457626,0.08286796922203053,0.08060963588869721,0.0245575,0.012277500000000002
2010-01-04 09:00:00,0.09301134927124291,0.07215301593790957,0.07330213588869723,0.07224213588869723,0.02885,-0.012191666666666668
2010-01-04 10:00:00,0.06828884927124292,0.06766551593790958,0.05611963588869723,0.05578296922203055,0.0328925,0.00932083333333333
2010-01-04 11:00:00,0.06259218260457625,0.06221051593790958,0.05068130255536389,0.05014463588869723,0.044345,0.022119999999999997
2010-01-04 12:00:00,0.06203884927124291,0.06186218260457624,0.050951302555363884,0.050377969222030555,0.06750333333333333,0.053375
2010-01-04 13:00:00,0.06128218260457625,0.06065718260457624,0.09769963588869719,0.09551296922203056,0.07811083333333334,0.06230916666666667
2010-01-04 14:00:00,0.0625613492712429,0.05362301593790958,0.08452630255536389,0.08158796922203056,0.10102666666666664,0.003106666666666666
2010-01-04 15:00:00,0.06158051593790957,0.059752182604576244,0.09186880255536388,0.08145546922203055,0.045879166666666665,0.04445416666666667
2010-01-04 16:00:00,0.06546801593790957,0.0640813492712429,0.06728130255536388,0.06117963588869721,0.07600333333333334,0.07444500000000001
