time,IA-Dubuque,IA-Burlington,IA-Ottumwa,MO-Columbia,IL-Alton,MO-Kirksville,OH-Cincinnati,MI-Detroit,IN-Indianapolis,WI-Madison,MN-Duluth,MN-Mankato,MN-Rochester,ND-Jamestown,IN-Evansville
2010-01-02 00:00:00+00:00,0.03126583333333334,0.0296525,0.030362499999999997,0.030875833333333328,0.029520833333333333,0.034985833333333334,0.028094166666666667,0.0089525,0.03253083333333334,0.03161749999999999,0.03168916666666667,0.03183916666666667,0.0339825,0.005870833333333333,0.027084166666666666
2010-01-02 01:00:00+00:00,0.04058583333333334,0.039080833333333335,0.03926583333333333,0.040530833333333335,0.039452499999999995,0.04635416666666666,0.037567500000000004,-0.013902499999999998,0.04333083333333334,0.04137916666666667,0.03992249999999999,0.03991583333333333,0.0427125,0.0349625,0.03640583333333333
2010-01-02 02:00:00+00:00,0.06344416666666666,0.061707499999999985,0.0617125,0.06441416666666668,0.06303416666666667,0.07397916666666665,0.05961083333333334,-0.004460833333333332,0.06892250000000001,0.0646975,0.061300833333333325,0.06177083333333334,0.06684416666666666,0.0696225,0.05770416666666668
2010-01-02 03:00:00+00:00,0.06367916666666665,0.06241083333333334,0.06309416666666667,0.06583583333333333,0.06401416666666666,0.07520916666666666,0.05679416666666666,0.0134875,0.06919083333333334,0.0642075,0.06132583333333333,0.06336416666666667,0.06994750000000001,0.07154083333333335,-0.0018325000000000199
2010-01-02 04:00:00+00:00,0.026088333333333335,0.02564833333333333,0.026123333333333335,0.02727833333333333,0.02649333333333334,0.031084999999999998,0.024718333333333335,0.0033633333333333354,0.02879166666666667,0.026038333333333337,0.025998333333333335,0.026586666666666668,0.029623333333333335,0.030665,0.018935
2010-01-02 05:00:00+00:00,0.027313333333333332,0.028918333333333338,0.030429999999999995,0.036885000000000015,0.03542666666666666,0.041659999999999996,0.03838833333333333,0.016118333333333332,0.043704999999999994,0.024259999999999993,0.032025,0.03315833333333333,0.038386666666666666,0.040486666666666664,0.038798333333333324
2010-01-02 06:00:00+00:00,0.0086275,0.016759166666666665,0.018635833333333334,0.040062499999999994,0.03857916666666666,0.04526416666666666,0.056620833333333336,0.07193250000000002,0.0637725,-0.0008291666666666663,0.0172075,0.0206225,0.026647499999999998,0.029209166666666665,0.055790833333333324
2010-01-02 07:00:00+00:00,0.022621666666666665,0.023286666666666664,0.02293166666666667,0.02431166666666667,0.023698333333333335,0.02754166666666667,0.02257666666666667,0.025441666666666668,0.025596666666666663,0.022338333333333335,0.024723333333333333,0.024378333333333335,0.027206666666666664,0.028661666666666672,0.023379999999999998
2010-01-02 08:00:00+00:00,0.033979999999999996,0.035365,0.034008333333333335,0.036343333333333325,0.035381666666666665,0.04142666666666666,0.03367,0.03802166666666667,0.03828333333333333,0.03351833333333334,0.03620666666666667,0.03608,0.04067,0.04228666666666666,0.034828333333333336
2010-01-02 09:00:00+00:00,0.0348325,0.03633583333333333,0.03508083333333333,0.03767416666666666,0.03635916666666666,0.04295583333333334,0.034327500000000004,0.03865916666666666,0.039182499999999995,0.03407416666666666,0.03730416666666666,0.037719166666666665,0.0427425,0.04390916666666667,0.03490583333333332
2010-01-02 10:00:00+00:00,0.026305000000000002,0.027093333333333334,0.026535,0.028593333333333335,0.027360000000000002,0.032625,0.025876666666666666,0.028971666666666663,0.029539999999999997,0.025540000000000004,0.028218333333333335,0.028820000000000005,0.032876666666666665,0.03324,0.026661666666666667
2010-01-02 11:00:00+00:00,0.05640416666666668,0.05818583333333333,0.05892916666666667,0.06800083333333333,0.06491250000000001,0.07770250000000002,0.06550750000000001,0.07449249999999999,0.07463416666666667,0.05244416666666667,0.061970833333333336,0.06411750000000002,0.07439583333333334,0.07501583333333334,0.06300416666666667
2010-01-02 12:00:00+00:00,0.04927666666666666,0.049324999999999994,0.05051333333333333,0.05401499999999999,0.05101,0.06155166666666667,0.04573666666666667,0.05303833333333333,0.05468333333333333,0.04730500000000001,0.05355166666666667,0.055251666666666664,0.06391166666666667,0.06343166666666668,0.012413333333333332
2010-01-02 13:00:00+00:00,0.0314675,0.0312975,0.03210916666666667,0.03407750000000001,0.032002499999999996,0.039059166666666666,0.02982416666666667,0.03301083333333333,0.03414083333333334,0.030124166666666664,0.033085833333333335,0.034929166666666664,0.039942500000000006,0.038629166666666666,0.02931583333333333
2010-01-02 14:00:00+00:00,0.11403083333333332,0.11367916666666668,0.11487249999999999,0.12289583333333333,0.11614749999999999,0.14153916666666666,0.09866583333333334,0.005119166666666663,0.12294916666666665,0.1104525,0.1142725,0.12188583333333332,0.13820083333333333,0.1313375,-0.009759166666666668
2010-01-02 15:00:00+00:00,0.09862583333333332,0.09790249999999998,0.0989625,0.1046925,0.09956083333333333,0.12005749999999998,0.0880525,-0.06395416666666667,0.10604083333333335,0.09582916666666666,0.0985125,0.10417250000000002,0.11777916666666664,0.11248750000000002,0.006852499999999998
2010-01-02 16:00:00+00:00,0.060595833333333335,0.05887916666666667,0.03712750000000001,0.062322499999999996,0.05928083333333334,0.07113916666666667,0.054474166666666685,0.003394166666666667,0.06381083333333333,0.058489166666666655,0.060987500000000014,0.06413250000000001,0.07179250000000001,0.06802083333333332,0.03572583333333333
2010-01-02 17:00:00+00:00,0.06175833333333333,0.05977833333333334,0.02408666666666667,0.062745,0.059704999999999994,0.07116000000000001,0.055475,-0.05602833333333333,0.06453166666666665,0.05969000000000001,0.062351666666666666,0.06532833333333334,0.07267166666666666,0.06865833333333332,0.04527666666666667
